Sentence,Category
หยุดคิดแบบนี้ หยุดคิดเลย,neg
รู้สึกดีทั้งที่เป็นแค่เพื่อนกัน,pos
หยุดไว้แค่นี้ หยุดไว้เลย,neg
ได้โปรด เธออย่าเล่นเกินไปกว่านั้น,neg
เล่นเป็นห่วงฉันแม้ในเรื่องที่ไม่สำคัญ,neg
ฉันยังสับสนและสงสัย,neg
ได้แต่พยายามจะไม่คิดอะไรที่ไม่ควรคิด,neg
เวลาที่เราใกล้ชิดมากไป,neg
มากมายเกินจะทนไหว,neg
อย่าเล่นเกินกว่านั้นได้ไหม,neg
ถ้าฉันเล่นเกินเส้นไป เธอรับได้ไหม,neg
หยุดเล่นเกินเพื่อนเล่น,neg
เพื่อนอะไรบอกฝันดีก่อนนอน,neg
เวลาฉันต้องการใคร ก็เป็นเธอที่มากอด,pos
แม้มันไม่อาจเป็นจริง,neg
ถ้าเธอไม่เคยที่จะรู้สึกเหมือนที่ใจฉันรู้สึก,neg
แค่เพื่อนเล่น ฉันก็เป็นให้เธอไม่ไหว,neg
จะได้พร้อมทำใจ รอให้เธอบอก,neg
ได้แต่พยายามจะไม่คิดอะไร,neg
ที่ไม่ควรคิด,neg
อาจจะฟังดูไม่ค่อยดี,neg
วันจันทร์ ฉันคิดถึงเธออยู่,pos
อยากเจอทุกวัน อยากเจอทุกวัน,pos
ไม่เป็นอันทำอะไร เอาแต่คิดถึงเธอไปวัน ๆ,neg
๘๖๔๐๐ วินาที คิดถึงเธอทุกที,pos
แค่อยากเจอ เธอทุกวัน,pos
ฉันช่างโชคดี ที่โลกนี้มีเธอทำให้ลืมเรื่องร้ายที่เจอ,pos
ในยามที่ทุกข์ เธอเชียร์ ให้ลุกจากเตียง,pos
ฉันเหมือนถูกต้องคำสาป,neg
และฉันแพ้ทุกคราว,neg
ตอนนี้มันกลายเป็นดีไปหมดเลย,pos
ในวันที่โลกทำเธอหนักใจ,neg
ไม่ว่าจะรู้สึกแย่แค่ไหน,neg
ในวันที่ความรักสองเรา นั้นไปต่อไม่ไหว,neg
ในวันที่ใจของเธอ เปลี่ยนผันไป ไม่เหมือนก่อน,neg
เราคงมาไกลได้เท่านี้,neg
หากฉันไม่ได้อยู่ดูแลเหมือนวันก่อน,neg
หากฉันไม่ได้อยู่ข้างเธอดั่งวันวาน,neg
อยากจะขอให้เธอได้เจอ แต่คนที่แสนดี,pos
อย่าได้ไปเจอ ใครที่ทำร้ายหัวใจ,pos
ขอให้โลกใบนี้ใจดีกับเธอ,pos
ขอให้โลกใบนี้ไม่ทำร้ายเธอ,pos
จริง ๆ ตอนนั้นก็ดี,pos
แต่กาลเวลาใจร้ายเหลือเกิน,neg
โอ้ กาลเวลาใจร้ายเหลือเกิน,neg
อย่าได้ไปเจอใคร ที่ทำร้ายหัวใจ (โน),neg
อย่าได้ไปเจอ ใครที่ทำร้ายหัวใจ (ฮู้),neg
เวลาที่เธอทะเลาะกับเขา,neg
หรือมีอะไรที่คิดมากไป,neg
คอยอยู่ข้างเธอ,pos
ในวันที่เขาทำตัวไม่ดี,neg
คนอย่างเราทำได้ แค่คอยปลอบ,neg
เป็นคนสำคัญ เมื่อเธอไม่มีเขา,neg
แค่เพียงชั่วคราว เมื่อเธอเศร้าใจ,neg
กี่ครั้งที่เขาทำตัวใจร้าย,neg
ต่อให้ต้องเสียน้ำตาเท่าไหร่,neg
มีเวลาให้กัน รักกันมากทุกวันและมีความสุขดี,pos
มันเป็นความทรงจำที่ดี,pos
แต่ทำไมวันนี้เธอกลับมาทิ้งฉันไปอยู่กับเขา,neg
หากเธอมาขอให้ฉันยินดีกับเธอ คงไม่มีทาง,neg
ฉันจะไม่ยินดีกับรักครั้งนี้ของเธอกับเขา,neg
มันทำให้ฉันต้องเหงาและทำให้ฉันต้องมีน้ำตา,neg
ให้เจ็บปวด,neg
บนความรู้สึกที่ลำบากใจ,neg
จนฉันนั้นอยากตาย,neg
ไม่อยากให้ห่างไกลกัน,pos
แต่คนที่ฉันเกลียด ไม่ต้องบอกก็รู้ว่าเป็นใคร,neg
ก็คงเป็นคนที่ไปจากฉันและลาไปแบบคาใจ,neg
และฉันต้องปล่อยให้ความรู้สึกของฉันมันชินและชาไป,neg
ไม่ต้องร้องไห้อีก,pos
ก็เหมือนกับความรู้สึกของฉันที่เธอมองว่ามันไม่สำคัญ,neg
บาดแผลที่เธอได้ฝากไว้,neg
มันทำให้ฉันอ่อนแอและไร้เรี่ยวแรง,neg
